trip_id,user_id,start_time,end_time,start_lat,start_lon,end_lat,end_lon,distance_miles,purpose,route_points
0,0,2025-01-01T07:57:00,2025-01-01T08:16:21.102077,33.89595160235567,-84.46358551960903,33.78655521766508,-84.38867019913064,11.304402585180759,commute,"[(33.895788177856716, -84.4631460406156), (33.88418406271067, -84.45568179949282), (33.87080073575382, -84.44641001494297), (33.86020231603032, -84.43850493869995), (33.84677133259238, -84.43106155410848), (33.83561958389568, -84.4218642430456), (33.823866899042436, -84.41271076418923), (33.81149256756776, -84.40457698481568), (33.797722208262094, -84.39748379460679), (33.78627328448961, -84.38930674875536)]"
1,0,2025-01-01T16:52:00,2025-01-01T17:19:39.716814,33.78655521766508,-84.38867019913064,33.89595160235567,-84.46358551960903,11.304402585180759,commute,"[(33.78562842506307, -84.38849743080699), (33.799635848907144, -84.39737289517217), (33.80993269384346, -84.40606171917301), (33.822413566624924, -84.41269191578098), (33.83459791143078, -84.42252115366364), (33.84776235027879, -84.42991195148781), (33.858700167353675, -84.43778544001174), (33.871390140202124, -84.44732447136322), (33.884155979424726, -84.45556830955816), (33.89537021250127, -84.46317513577488)]"
2,1,2025-01-01T08:50:00,2025-01-01T09:02:20.757819,33.77142357317873,-84.39775509949582,33.75737665191589,-84.39404019777339,1.2918464601816877,commute,"[(33.77111079596715, -84.39868586548695), (33.76895129074818, -84.39679795387158), (33.768617167216085, -84.39774165064752), (33.76642721419625, -84.39639987745267), (33.765123108800786, -84.39699253038198), (33.764069966279074, -84.39595363034873), (33.761975078080106, -84.39446613218298), (33.7606354429447, -84.39563956546544), (33.75813055599896, -84.3940607135951), (33.756806298022184, -84.39450132658203)]"
3,1,2025-01-01T16:51:00,2025-01-01T17:12:01.596480,33.75737665191589,-84.39404019777339,33.80580544818562,-84.36790667486078,4.767437841667369,errand,"[(33.75789366066811, -84.39473908668295), (33.76188648355424, -84.39193638641308), (33.767542957022584, -84.38865507709569), (33.77404605340558, -84.38509585480043), (33.77847597097137, -84.38284556869574), (33.784510686713524, -84.3793037060472), (33.789362571865496, -84.37702299766241), (33.79557076230601, -84.37293070323715), (33.80027402611051, -84.37078696259505), (33.80634126325295, -84.36801750242486)]"
4,1,2025-01-01T17:12:01.596480,2025-01-01T17:23:01.325675,33.80580544818562,-84.36790667486078,33.77142357317873,-84.39775509949582,3.8081415076053347,commute,"[(33.80510661680235, -84.36737658802825), (33.80154110604234, -84.37218383927728), (33.79823054968837, -84.37509959380631), (33.79423445455761, -84.37837840969094), (33.79003715925104, -84.3806578484879), (33.78674469163317, -84.38434785685816), (33.78305492341339, -84.38765168574014), (33.7795455678146, -84.3910279210794), (33.77584074142327, -84.39509031631866), (33.772015278082094, -84.39803869076464)]"
5,2,2025-01-01T08:24:00,2025-01-01T08:49:47.749743,33.698324759979954,-84.39021250008722,33.77986135248193,-84.38698462334989,7.327689705776197,commute,"[(33.697740989505284, -84.39081146441137), (33.708211544661815, -84.39022719982682), (33.71560380655719, -84.390020276591), (33.72493318041294, -84.38928498956761), (33.735210572646146, -84.38892156663785), (33.74437908336699, -84.38759526915118), (33.752018673006845, -84.38709285437467), (33.761973926574306, -84.38688670248807), (33.77107940219895, -84.38746185613279), (33.77911573589757, -84.38620625425912)]"
6,2,2025-01-01T16:44:00,2025-01-01T17:02:42.515015,33.77986135248193,-84.38698462334989,33.698324759979954,-84.39021250008722,7.327689705776197,commute,"[(33.779703695936945, -84.38600373816381), (33.77162904589934, -84.3871584662903), (33.761416411971574, -84.38815669846522), (33.75302703606626, -84.38901803771378), (33.743226705524506, -84.38778512809655), (33.733887339610575, -84.3895958253059), (33.72561304335317, -84.3898089050366), (33.71689027342873, -84.39032526887715), (33.707459813666745, -84.38991995811277), (33.698417885652596, -84.38927009871028)]"
7,3,2025-01-01T07:01:00,2025-01-01T07:12:51.923539,33.76243495857763,-84.313483274311,33.743967551989925,-84.36974914409215,4.517541798211412,commute,"[(33.762201531829454, -84.3128088040056), (33.760315858478236, -84.31886551385394), (33.75757324782518, -84.3256178738877), (33.75712276105334, -84.33219811427716), (33.7551945198333, -84.33799886358061), (33.75228017310485, -84.3449274493572), (33.749653341599064, -84.35065636342468), (33.748505908124294, -84.35678043773342), (33.745375519418, -84.36400401346941), (33.743647573171764, -84.3697847412444)]"
8,3,2025-01-01T18:20:00,2025-01-01T18:44:59.080594,33.743967551989925,-84.36974914409215,33.70125243878818,-84.30910745115602,5.93674227229978,errand,"[(33.74319512605642, -84.36937260874241), (33.73942000263728, -84.36298016019198), (33.73404084647936, -84.35600571022995), (33.73058297197415, -84.35027251374493), (33.72521454493098, -84.34314748402298), (33.7201505863639, -84.33517821968255), (33.71470646281831, -84.3291321056711), (33.70985983274949, -84.32254926899591), (33.70566495707246, -84.31511976095176), (33.70130823861074, -84.30861834261577)]"
9,3,2025-01-01T18:44:59.080594,2025-01-01T18:52:48.614121,33.70125243878818,-84.30910745115602,33.76243495857763,-84.313483274311,5.505205647678885,commute,"[(33.70174286755685, -84.30852265401786), (33.70717405195239, -84.31009487701522), (33.71560383405387, -84.31018598692143), (33.721813171818795, -84.31040754769948), (33.729271146464, -84.3117266749715), (33.73473232255674, -84.31227320968488), (33.74239739295924, -84.3111334153865), (33.7484125592425, -84.31219596557276), (33.75505470101818, -84.31232410207568), (33.76305872393704, -84.31267280412112)]"
